time,open,high,low,close,change,changePct,tradingVol,tradingValue,consNumber,peg
20220609,1296.62,1302.77,1263.85,1269.7,-31.85,-2.45,112.86,69.55,50.0,25.09
20220610,1270.27,1289.7,1264.98,1289.44,19.74,1.55,122.37,82.85,50.0,25.23
20220613,1277.22,1284.68,1267.29,1279.12,-10.32,-0.8,106.22,66.19,50.0,23.99
20220614,1268.51,1278.73,1238.99,1264.85,-14.27,-1.12,96.15,56.86,50.0,23.75
20220615,1264.08,1284.54,1258.21,1265.59,0.74,0.06,99.76,60.38,50.0,23.83
20220616,1266.49,1303.24,1265.87,1288.34,22.75,1.8,100.49,64.17,50.0,22.41
20220617,1280.91,1326.79,1272.4,1318.66,30.32,2.35,117.54,82.84,50.0,22.81
20220620,1318.07,1337.32,1315.45,1328.77,10.11,0.77,115.42,81.75,50.0,23.16
20220621,1330.51,1339.41,1303.44,1314.49,-14.28,-1.07,100.03,67.4,50.0,22.88
20220622,1314.4,1323.73,1287.75,1288.63,-25.86,-1.97,92.44,59.21,50.0,22.47
20220623,1289.45,1296.12,1270.04,1295.94,7.3,0.57,92.57,56.19,50.0,22.7
20220624,1297.36,1331.74,1297.36,1321.02,25.08,1.93,122.72,87.34,50.0,22.97
20220627,1330.55,1351.64,1327.09,1334.69,13.68,1.04,110.19,77.61,50.0,23.21
20220628,1334.75,1334.75,1298.13,1320.61,-14.08,-1.06,117.16,74.19,50.0,23.01
20220629,1314.72,1332.92,1304.07,1305.0,-15.62,-1.18,110.57,69.89,50.0,22.9
20220630,1306.52,1339.56,1305.01,1320.94,15.94,1.22,106.85,70.45,50.0,23.28
20220701,1324.72,1324.72,1294.79,1300.21,-20.73,-1.57,85.21,54.78,50.0,22.93
20220704,1305.41,1363.11,1295.09,1361.41,61.2,4.71,161.06,92.96,50.0,23.87
20220705,1361.19,1362.58,1326.75,1343.46,-17.95,-1.32,124.63,79.17,50.0,23.56
20220706,1342.63,1367.34,1330.75,1343.59,0.13,0.01,107.78,69.59,50.0,23.5
20220707,1350.49,1351.49,1301.84,1316.87,-26.72,-1.99,96.48,61.73,50.0,23.06
20220708,1318.04,1333.06,1312.86,1326.54,9.67,0.73,94.95,56.71,50.0,23.27
20220711,1323.41,1332.72,1306.24,1315.86,-10.68,-0.81,95.26,58.29,50.0,23.02
20220712,1316.33,1316.33,1265.24,1265.31,-50.55,-3.84,100.15,57.75,50.0,22.2
20220713,1266.34,1269.38,1252.52,1260.23,-5.09,-0.4,68.62,42.98,50.0,22.15
20220714,1263.99,1298.97,1260.4,1287.89,27.66,2.19,92.5,59.15,50.0,22.62
20220715,1284.66,1295.37,1269.79,1271.64,-16.25,-1.26,89.34,51.67,50.0,22.33
20220718,1272.72,1276.9,1240.82,1261.39,-10.25,-0.81,87.09,51.56,50.0,22.28
20220719,1260.44,1267.18,1244.39,1251.77,-9.61,-0.76,71.28,42.08,50.0,22.16
20220720,1253.13,1286.49,1253.13,1281.5,29.72,2.37,102.76,61.77,50.0,22.9
20220721,1281.38,1302.23,1275.94,1285.22,3.72,0.29,101.14,58.11,50.0,22.92
