time,open,close,high,low,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-12-09,802.13,798.84,812.17,796.19,145429581,931.0,854.74,778.49,19.44,20.84,16.65,2,917.84,735.92
2011-12-12,798.81,790.79,803.74,789.79,124689878,924.15,848.48,772.81,15.59,19.09,8.58,2,909.4,729.16
2011-12-13,787.08,768.92,787.08,765.04,163020268,916.44,840.88,765.32,11.6,16.59,1.61,2,897.03,719.24
2011-12-14,766.18,755.76,773.77,754.32,144942369,914.09,833.99,753.9,8.24,13.81,-2.9,2,887.89,711.91
2011-12-15,751.55,746.56,756.81,743.27,162660672,909.38,826.4,743.42,6.82,11.48,-2.51,2,876.09,702.45
2011-12-16,745.52,778.78,778.78,745.52,189917192,904.89,821.88,738.87,19.98,14.31,31.31,2,870.5,697.97
2011-12-19,774.65,793.44,793.44,767.07,248795964,900.03,818.4,736.76,35.12,21.25,62.87,2,870.6,698.05
2011-12-20,791.82,781.42,799.66,780.92,192837021,893.8,814.05,734.29,39.99,27.5,64.99,2,868.75,696.56
2011-12-21,786.98,761.34,791.23,760.92,190600572,888.21,808.87,729.54,35.4,30.13,45.95,2,864.17,692.89
2011-12-22,754.48,757.9,767.32,727.74,235250074,880.75,803.36,725.97,36.83,32.36,45.76,2,858.45,688.3
2011-12-23,754.89,761.44,770.38,750.96,189142906,872.51,798.26,724.0,40.17,34.97,50.58,2,854.29,684.98
2011-12-26,760.67,753.05,769.92,751.61,157857144,862.23,792.57,722.91,38.51,36.15,43.24,2,850.11,681.62
2011-12-27,749.61,727.17,749.92,725.11,163882097,847.63,784.91,722.19,26.6,32.97,13.86,2,845.47,677.9
2011-12-28,721.84,717.55,721.84,700.11,160777423,843.15,778.88,714.62,23.57,29.83,11.04,2,841.23,674.5
2011-12-29,714.58,716.55,722.2,710.65,124101645,832.28,772.07,711.85,21.22,26.96,9.73,2,837.9,671.83
2011-12-30,718.03,729.5,730.53,718.03,146606654,823.98,767.08,710.19,23.99,25.97,20.02,2,832.43,667.44
2012-01-04,734.74,707.11,737.91,707.11,138712299,824.08,762.81,701.54,18.55,23.5,8.66,2,822.85,659.76
2012-01-05,700.32,666.91,701.04,665.41,187682875,828.17,756.25,684.33,12.84,19.95,-1.36,1,810.14,649.57
2012-01-06,662.65,669.02,672.13,645.8,158864254,827.59,749.57,671.56,14.78,18.22,7.88,1,799.89,641.35
2012-01-09,667.86,692.42,692.42,657.18,199860506,820.44,743.72,667.01,22.37,19.61,27.9,1,792.62,635.52
2012-01-10,691.65,716.45,718.29,690.5,264154102,812.81,739.6,666.4,37.53,25.58,61.43,2,787.63,631.52
2012-01-11,715.04,717.94,728.66,710.53,239866180,805.79,735.96,666.14,51.13,34.1,85.19,2,783.73,628.4
2012-01-12,715.82,709.89,724.08,708.68,203924156,802.0,733.01,664.02,57.28,41.82,88.19,2,781.81,626.86
2012-01-13,709.05,666.08,709.63,665.26,243703835,802.5,728.53,654.56,45.52,43.06,50.46,2,776.1,622.28
2012-01-16,657.8,633.91,657.8,633.31,171596504,806.98,722.89,638.81,30.54,38.89,13.85,2,766.92,614.92
2012-01-17,630.78,662.69,664.7,623.64,232085828,800.97,717.09,633.21,32.76,36.84,24.58,2,759.51,608.98
2012-01-18,662.94,624.91,665.6,621.67,239740893,794.01,708.66,623.31,22.85,32.18,4.19,2,750.38,601.66
2012-01-19,621.65,632.8,637.02,612.28,237354870,785.83,701.23,616.64,21.11,28.49,6.35,2,746.6,598.62
2012-01-20,634.83,646.38,648.14,634.57,199100479,778.57,695.48,612.4,23.84,26.94,17.64,2,744.09,596.61
2012-01-30,649.42,651.25,660.06,644.88,188878256,770.16,690.15,610.14,27.05,26.98,27.21,2,739.52,592.94
2012-01-31,649.37,648.68,650.49,637.43,166705226,759.36,684.51,609.67,28.89,27.61,31.44,2,731.99,586.91
2012-02-01,647.49,650.78,663.27,644.58,182018011,748.58,679.4,610.22,32.44,29.22,38.88,2,724.54,580.94
2012-02-02,652.06,665.4,665.4,652.06,204642775,742.12,676.31,610.51,54.84,37.76,88.99,2,719.6,576.98
2012-02-03,665.35,680.05,681.89,663.01,246984601,737.51,674.44,611.36,69.01,48.18,110.67,2,721.15,578.22
2012-02-06,681.04,686.51,689.96,680.7,242964491,733.3,672.93,612.57,77.86,58.07,117.44,2,726.99,582.9
2012-02-07,683.88,673.68,683.88,669.54,195950403,724.67,670.14,615.61,78.25,64.8,105.16,2,728.21,583.88
2012-02-08,673.07,692.3,692.3,669.63,238324150,722.28,669.4,616.52,85.5,71.7,113.11,2,735.69,589.88
